trn,0,1
trn,1,2
trn,2,3
trn,3,4
trn,4,5
trn,5,6
trn,6,7
trn,7,8
trn,8,9
trn,9,10
trn,10,11
trn,11,12
trn,12,13
trn,13,14
trn,14,15
trn,15,16
trn,16,17
trn,17,18
trn,18,19
trn,19,20
trn,20,21
trn,21,22
trn,22,23
trn,23,24
trn,24,25
trn,25,26
trn,26,27
trn,27,28
trn,28,29
trn,29,30
trn,30,31
trn,31,32
trn,32,33
trn,33,34
trn,34,35
trn,35,36
trn,36,37
trn,37,38
trn,38,39
trn,39,40
trn,40,41
trn,41,42
trn,42,43
trn,43,44
trn,44,45
trn,45,46
trn,46,47
trn,47,48
trn,48,49
trn,49,50
trn,50,51
trn,51,52
trn,52,53
trn,53,54
trn,54,55
trn,55,56
trn,56,57
trn,57,58
trn,58,59
trn,59,60
trn,60,61
trn,61,62
trn,62,63
trn,63,64
trn,64,65
trn,65,66
trn,66,67
trn,67,68
trn,68,69
trn,69,70
trn,70,71
trn,71,72
trn,72,73
trn,73,74
trn,74,75
trn,75,76
trn,76,77
trn,77,78
trn,78,79
trn,79,80
trn,80,81
trn,81,82
trn,82,83
trn,83,84
trn,84,85
trn,85,86
trn,86,87
trn,87,88
trn,88,89
trn,89,90
trn,90,91
trn,91,92
trn,92,93
trn,93,94
trn,94,95
trn,95,96
trn,96,97
trn,97,98
trn,98,99
trn,99,100
trn,100,101
trn,101,102
trn,102,103
trn,103,104
trn,104,105
trn,105,106
trn,106,107
trn,107,108
trn,108,109
trn,109,110
trn,110,111
trn,111,112
trn,112,113
trn,113,114
trn,114,115
trn,115,116
trn,116,117
trn,117,118
trn,118,119
trn,119,120
trn,120,121
trn,121,122
trn,122,123
trn,123,124
trn,124,125
trn,125,126
trn,126,127
trn,127,128
trn,128,129
trn,129,130
trn,130,131
trn,131,132
trn,132,133
trn,133,134
trn,134,135
trn,135,136
trn,136,137
trn,137,138
trn,138,139
trn,139,140
trn,140,141
trn,141,142
trn,142,143
trn,143,144
trn,144,145
trn,145,146
trn,146,147
trn,147,148
trn,148,149
trn,149,150
trn,150,151
trn,151,152
trn,152,153
trn,153,154
trn,154,155
trn,155,156
trn,156,157
trn,157,158
trn,158,159
trn,159,160
trn,160,161
trn,161,162
trn,162,163
trn,163,164
trn,164,165
trn,165,166
trn,166,167
trn,167,168
trn,168,169
trn,169,170
trn,170,171
trn,171,172
trn,172,173
trn,173,174
trn,174,175
trn,175,176
trn,176,177
trn,177,178
trn,178,179
trn,179,180
trn,180,181
trn,181,182
trn,182,183
trn,183,184
trn,184,185
trn,185,186
trn,186,187
trn,187,188
trn,188,189
trn,189,190
trn,190,191
trn,191,192
trn,192,193
trn,193,194
trn,194,195
trn,195,196
trn,196,197
trn,197,198
trn,198,199
trn,199,200
trn,200,201
trn,201,202
trn,202,203
trn,203,204
trn,204,205
trn,205,206
trn,206,207
trn,207,208
trn,208,209
trn,209,210
trn,210,211
trn,211,212
trn,212,213
trn,213,214
trn,214,215
trn,215,216
trn,216,217
trn,217,218
trn,218,219
trn,219,220
trn,220,221
trn,221,222
trn,222,223
trn,223,224
trn,224,225
trn,225,226
trn,226,227
trn,227,228
trn,228,229
trn,229,230
trn,230,231
trn,231,232
trn,232,233
trn,233,234
trn,234,235
trn,235,236
trn,236,237
trn,237,238
trn,238,239
trn,239,240
trn,240,241
trn,241,242
trn,242,243
trn,243,244
trn,244,245
trn,245,246
trn,246,247
trn,247,248
trn,248,249
trn,249,250
trn,250,251
trn,251,252
trn,252,253
trn,253,254
trn,254,255
trn,255,256
trn,256,257
trn,257,258
trn,258,259
trn,259,260
trn,260,261
trn,261,262
trn,262,263
trn,263,264
trn,264,265
trn,265,266
trn,266,267
trn,267,268
trn,268,269
trn,269,270
trn,270,271
trn,271,272
trn,272,273
trn,273,274
trn,274,275
trn,275,276
trn,276,277
trn,277,278
trn,278,279
trn,279,280
trn,280,281
trn,281,282
trn,282,283
trn,283,284
trn,284,285
trn,285,286
trn,286,287
trn,287,288
trn,288,289
trn,289,290
trn,290,291
trn,291,292
trn,292,0
val,0,1
val,1,2
val,2,3
val,3,4
val,4,5
val,5,6
val,6,7
val,7,8
val,8,9
val,9,10
val,10,11
val,11,12
val,12,13
val,13,14
val,14,15
val,15,16
val,16,17
val,17,18
val,18,19
val,19,20
val,20,21
val,21,22
val,22,23
val,23,24
val,24,25
val,25,26
val,26,27
val,27,28
val,28,29
val,29,30
val,30,31
val,31,32
val,32,33
val,33,34
val,34,35
val,35,36
val,36,37
val,37,38
val,38,39
val,39,0
tst,0,0
tst,1,1
tst,2,2
tst,3,3
tst,4,4
tst,5,5
tst,6,6
tst,7,7
tst,8,8
tst,9,9
tst,10,10
tst,11,11
tst,12,12
tst,13,13
tst,14,14
tst,15,15
tst,16,16
tst,17,17
tst,18,18
tst,19,19
tst,20,20
tst,21,21
tst,22,22
tst,23,23
tst,24,24
tst,25,25
tst,26,26
tst,27,27
tst,28,28
tst,29,29
tst,30,30
tst,31,31
tst,32,32
tst,33,33
tst,34,34
tst,35,35
tst,36,36
tst,37,37
tst,38,38
tst,39,39
